"spkid","full_name","epoch_mjd","a","e","i","om","w","ma"
3986735,"       (2020 BS)",60800,1.301,0.2517,1.28,303.57,147.35,218.36
3986736,"       (2020 BT)",58870,2.331,0.5623,4.48,139.63,315.39,5.48
3986737,"       (2020 BU)",60800,1.635,0.3705,1.87,86.06,32.20,190.77
3986738,"       (2020 BV)",60800,1.96,0.6109,5.16,115.40,79.10,315.17
3986739,"       (2020 BW)",60800,0.9311,0.3278,3.38,10.21,249.28,209.37
3986740,"       (2020 BX)",58866,1.466,0.4088,20.95,92.59,130.76,308.32
3986741,"       (2020 BY)",60800,1.108,0.4559,16.13,300.10,285.29,139.18
3986742,"       (2020 BZ)",60800,0.9477,0.2723,14.90,300.56,58.34,354.14
3986747,"       (2020 BA1)",58869,1.342,0.2525,28.75,302.61,116.92,37.36
3986748,"       (2020 BB1)",60800,1.854,0.5259,3.40,306.39,222.77,19.76
3986744,"       (2020 BC1)",58867,1.872,0.4821,5.36,310.36,130.98,11.34
3986749,"       (2020 BD1)",60800,1.484,0.5860,4.85,109.13,275.48,3.14
3986743,"       (2020 BE1)",60800,1.715,0.5035,30.11,103.44,111.71,90.27
3986745,"       (2020 BF1)",60800,0.9621,0.1325,1.37,342.23,247.57,122.89
3986746,"       (2020 BG1)",60800,1.225,0.2543,9.00,73.32,159.33,241.90
3986760,"       (2020 BH1)",58868,1.513,0.4557,13.85,299.08,113.56,25.01
3986761,"       (2020 BJ1)",58866,1.854,0.5287,4.81,102.56,72.51,342.09
3986762,"       (2020 BK1)",60800,0.7811,0.5680,21.08,116.08,178.07,72.86
3986763,"       (2020 BL1)",60800,1.151,0.2288,12.31,111.62,286.53,156.88
3986764,"       (2020 BM1)",60800,0.868,0.3288,15.42,304.54,27.89,314.00
3986765,"       (2020 BN1)",60800,1.748,0.4710,7.62,119.95,319.60,117.14
3986766,"       (2020 BO1)",60800,1.723,0.4598,34.22,120.55,316.65,137.08
3986767,"       (2020 BP1)",60800,1.603,0.3673,4.74,110.51,18.01,214.39
3986768,"       (2020 BQ1)",60800,1.773,0.3905,17.95,302.63,227.81,65.63
3986769,"       (2020 BR1)",60800,1.87,0.3938,28.00,107.26,75.42,356.02
3986770,"       (2020 BS1)",60800,1.36,0.2745,6.90,304.20,156.52,130.54
3986771,"       (2020 BT1)",60800,1.632,0.3508,1.73,85.13,25.89,196.93
3986772,"       (2020 BU1)",60800,2.991,0.6191,10.15,306.63,204.67,4.44
3986773,"       (2020 BV1)",60800,1.432,0.4613,5.29,24.60,20.78,63.40
3986774,"       (2020 BX1)",58861,1.714,0.5125,3.26,82.53,96.89,338.58
3986776,"       (2020 BY1)",60800,2.034,0.6379,4.65,297.46,108.57,312.13
3986775,"       (2020 BZ1)",60800,2.02,0.5190,3.01,300.62,155.45,309.94
3986805,"       (2020 BC2)",58876,1.271,0.4037,12.37,61.37,170.16,308.74
3986806,"       (2020 BD2)",60800,1.956,0.5753,14.48,57.12,355.78,357.28
3986807,"       (2020 BE2)",60800,2.18,0.4802,23.39,142.81,308.92,242.96
3986808,"       (2020 BF2)",58869,2.092,0.5508,12.17,114.08,46.22,349.10
3986809,"       (2020 BH2)",60800,2.421,0.4814,18.45,284.16,254.91,126.44
3986810,"       (2020 BK2)",58868,1.617,0.4295,28.35,98.39,304.65,27.54
3986811,"       (2020 BL2)",60800,1.511,0.2951,26.81,299.14,113.68,332.04
3986812,"       (2020 BM2)",58869,1.338,0.2446,3.74,305.38,143.08,18.96
3986814,"       (2020 BN2)",60800,2.383,0.5663,23.94,102.58,71.81,140.24
3986813,"       (2020 BO2)",58870,1.551,0.4283,7.77,118.26,60.60,336.87
3986815,"       (2020 BP2)",60800,2.368,0.5525,26.86,108.35,283.20,181.31
3986829,"       (2020 BQ2)",60800,2.811,0.6317,8.31,122.13,353.80,45.17
3986830,"       (2020 BR2)",60800,1.04,0.1339,4.73,128.88,250.91,82.67
3986831,"       (2020 BS2)",60800,2.606,0.7495,10.00,33.45,6.36,105.82
3986832,"       (2020 BT2)",58872,0.7236,0.4202,4.09,168.47,133.24,170.41
3986833,"       (2020 BU2)",58869,1.284,0.3893,12.76,122.14,91.36,313.95
3986834,"       (2020 BV2)",58869,1.428,0.2971,1.24,135.74,338.92,3.15
3986835,"       (2020 BW2)",60800,2.391,0.5166,3.86,326.05,173.77,149.53
3986836,"       (2020 BX2)",58870,2.454,0.5648,3.11,130.10,337.27,3.60
3986837,"       (2020 BB3)",60800,1.329,0.5267,5.72,273.93,109.26,198.38
3986838,"       (2020 BG3)",60800,2.379,0.6665,12.09,33.40,354.32,171.60
3986839,"       (2020 BH3)",60800,1.564,0.3977,0.44,155.24,358.18,238.18
3986840,"       (2020 BJ3)",60800,1.754,0.3845,5.48,129.27,330.90,107.55
3986841,"       (2020 BK3)",60800,1.158,0.3167,9.82,120.36,279.99,132.95
3986842,"       (2020 BN3)",58871,2.496,0.8472,11.20,125.36,109.85,348.47
3986843,"       (2020 BO3)",60800,1.553,0.3065,7.80,272.12,201.17,262.98
3986844,"       (2020 BQ3)",60800,3.332,0.6269,25.20,86.53,339.30,329.95
3986845,"       (2020 BR3)",58869,2.057,0.6840,26.28,143.27,215.42,26.17
3986846,"       (2020 BS3)",60800,1.272,0.2499,2.19,151.67,273.45,282.17
3986848,"       (2020 BT3)",58869,0.8309,0.2868,13.98,298.89,8.21,168.29
3986847,"       (2020 BU3)",58871,2.532,0.8454,1.85,52.97,310.55,13.77
3989077,"       (2020 BX3)",60800,1.752,0.6791,25.30,315.39,318.96,38.53
3989079,"       (2020 BF4)",60800,2.04,0.3811,25.88,125.24,323.42,296.52
3989074,"       (2020 BJ4)",60800,2.819,0.6708,5.62,10.53,199.18,19.60
3989075,"       (2020 BK4)",58871,1.698,0.5201,4.41,158.12,235.33,37.06
3989076,"       (2020 BL4)",58870,1.279,0.2678,2.74,85.60,334.99,37.27
3989080,"       (2020 BP4)",58872,1.469,0.3377,22.08,116.11,316.55,25.34
3989081,"       (2020 BY4)",58871,2.029,0.6991,1.73,131.86,81.95,342.84
3989083,"       (2020 BZ4)",60800,0.9454,0.2810,6.07,124.88,121.28,174.80
3989082,"       (2020 BA5)",60800,1.135,0.0689,6.43,297.36,72.30,240.16
3989084,"       (2020 BB5)",60800,1.409,0.3828,0.87,305.92,120.47,82.52
3989085,"       (2020 BC5)",60800,2.339,0.5322,1.78,147.22,353.63,166.68
3989086,"       (2020 BD5)",58872,2.068,0.5789,3.09,315.60,112.06,13.76
3989087,"       (2020 BE5)",58871,1.471,0.4481,14.64,124.04,289.01,27.90
3989088,"       (2020 BF5)",60800,0.9798,0.2599,7.27,130.40,130.75,46.50
3989089,"       (2020 BG5)",60800,1.159,0.1529,6.23,98.01,181.81,292.83
3989090,"       (2020 BH5)",60800,2.292,0.5287,17.91,132.20,335.89,192.35
3989091,"       (2020 BJ5)",60800,1.892,0.5851,18.15,204.56,172.35,38.55
3989092,"       (2020 BK5)",60800,1.224,0.4399,18.77,125.87,127.26,244.68
3989093,"       (2020 BL5)",60800,2.633,0.6069,32.34,153.21,48.19,70.69
3989095,"       (2020 BN5)",60800,1.895,0.5673,13.06,96.60,101.50,335.62
3989096,"       (2020 BO5)",60800,1.643,0.2944,5.57,242.35,318.44,146.37
3989097,"       (2020 BR5)",60800,1.225,0.1813,8.63,126.99,327.79,341.69
