"spkid","full_name","epoch_mjd","a","e","i","om","w","ma"
3606312,"       (2012 PA)",60800,1.358,0.7029,11.25,170.44,14.78,55.25
3607086,"       (2012 PN)",60800,2.526,0.5892,1.25,162.24,148.22,64.86
3607372,"       (2012 PX)",60800,2.269,0.5650,3.40,175.50,199.70,247.34
3607382,"       (2012 PS4)",60800,1.767,0.5931,3.94,86.18,144.25,176.46
3607400,"       (2012 PG5)",60800,3.017,0.5962,16.60,157.18,208.84,143.53
3607412,"       (2012 PH6)",60800,1.754,0.3491,22.88,136.96,209.32,157.97
3607413,"       (2012 PJ6)",60800,2.135,0.4247,6.80,167.78,145.04,34.01
3607466,"       (2012 PN6)",60800,1.687,0.3211,29.78,147.63,162.13,295.26
3607479,"       (2012 PO17)",60800,2.159,0.4460,8.43,286.29,11.94,11.57
3607480,"       (2012 PP17)",60800,2.502,0.5350,5.76,242.48,67.86,80.16
3607481,"       (2012 PS17)",60800,2.492,0.5147,12.57,316.95,38.68,75.62
3607504,"       (2012 PZ17)",60800,0.8926,0.1441,5.39,139.43,7.69,191.67
3607527,"       (2012 PY19)",60800,0.8726,0.2005,1.36,318.12,172.09,50.91
3607528,"       (2012 PZ19)",60800,2.313,0.5407,2.33,297.76,72.98,210.88
3607529,"       (2012 PA20)",60800,2.024,0.5831,6.80,299.79,118.92,119.57
3607530,"       (2012 PB20)",60800,1.043,0.0885,5.93,142.54,54.87,30.07
3607532,"       (2012 PD20)",60800,1.856,0.4425,3.64,136.58,191.51,9.40
3607626,"       (2012 PK24)",60800,1.324,0.4123,6.67,318.08,105.88,76.34
3607627,"       (2012 PP24)",60800,2.148,0.4600,4.97,164.02,169.64,11.50
3607665,"       (2012 PM28)",56153,1.808,0.6738,9.62,309.94,126.84,328.37
3607683,"       (2012 PO28)",60800,2.09,0.3856,3.59,176.62,118.97,89.10
3607668,"       (2012 PQ28)",60800,2.189,0.5379,21.21,118.79,295.04,299.95
3607669,"       (2012 QJ2)",60800,2.206,0.4436,28.85,181.90,154.44,315.27
3607717,"       (2012 QV2)",60800,2.229,0.5510,7.15,337.02,21.61,286.22
3607728,"       (2012 QC8)",60800,2.821,0.7586,5.67,22.15,47.76,237.27
3607729,"       (2012 QD8)",60800,1.913,0.6981,5.58,348.68,87.82,262.76
3607741,"       (2012 QG8)",60800,2.548,0.5135,0.20,131.39,92.93,88.04
3607742,"       (2012 QH8)",60800,0.9189,0.3669,19.41,140.94,356.45,357.89
3607877,"       (2012 QO10)",60800,1.664,0.4827,5.74,262.29,188.47,272.70
3607784,"       (2012 QQ10)",60800,1.935,0.4690,3.96,65.53,227.95,276.22
3607819,"       (2012 QH14)",60800,1.91,0.5271,1.09,135.82,243.99,277.59
3607820,"       (2012 QJ14)",56161,2.472,0.5250,15.92,145.64,162.10,5.22
3607821,"       (2012 QK14)",60800,2.495,0.4847,4.44,143.68,209.73,72.11
3607823,"       (2012 QL14)",60800,0.7735,0.5409,15.32,329.72,194.26,15.98
3607822,"       (2012 QM14)",56158,1.222,0.3869,0.92,4.03,225.40,52.22
3607833,"       (2012 QY14)",60800,2.395,0.4768,3.19,241.03,122.32,141.88
3607874,"       (2012 QZ16)",60800,1.538,0.5035,6.12,151.52,259.08,206.99
3607924,"       (2012 QP17)",60800,2.875,0.6320,14.24,165.79,261.97,200.56
3607957,"       (2012 QV17)",60800,2.804,0.6416,11.31,150.51,189.48,249.94
3607958,"       (2012 QW17)",56166,2.435,0.6524,12.73,153.09,116.58,12.08
3607959,"       (2012 QX17)",60800,2.255,0.4864,2.79,165.53,164.24,269.31
3607960,"       (2012 QY17)",56165,1.514,0.2990,18.61,152.24,180.80,0.02
3607961,"       (2012 QZ17)",60800,2.508,0.5607,2.33,150.43,191.77,67.40
3607962,"       (2012 QA18)",56165,1.664,0.3650,22.64,151.45,154.09,12.08
3607963,"       (2012 QB18)",60800,1.992,0.5536,7.51,150.41,125.74,200.90
3607964,"       (2012 QC18)",60800,2.229,0.5200,1.65,223.88,125.00,287.77
3607965,"       (2012 QD18)",56165,1.766,0.4355,8.42,153.00,145.83,12.54
3608091,"       (2012 QF42)",60800,2.32,0.5459,4.98,152.92,237.93,198.51
3608092,"       (2012 QG42)",60800,1.026,0.3745,6.81,344.77,116.19,352.30
3608218,"       (2012 QJ45)",60800,1.816,0.3530,10.12,131.91,256.15,41.27
3608219,"       (2012 QK45)",56167,2.172,0.5233,3.00,333.60,335.62,7.44
3608323,"       (2012 QG49)",60800,1.195,0.3698,4.98,291.56,150.10,191.79
3608324,"       (2012 QH49)",60800,2.704,0.5985,38.26,155.52,160.35,309.71
3608326,"       (2012 QE50)",60800,1.733,0.4409,11.90,193.91,224.91,169.08
3608404,"       (2012 QQ50)",60800,1.717,0.5046,9.42,244.32,201.66,179.68
3608405,"       (2012 QR50)",60800,1.526,0.1722,22.92,359.43,330.82,281.60
3608427,"       (2012 RO1)",60800,2.53,0.5145,26.12,313.90,105.65,26.00
3608473,"       (2012 RL2)",60800,1.749,0.4107,3.21,122.24,238.95,162.77
3608474,"       (2012 RM2)",60800,2.052,0.5190,4.85,192.10,111.80,121.54
3608475,"       (2012 RB3)",56181,2.121,0.4901,45.67,164.96,139.97,16.94
3608483,"       (2012 RH3)",60800,2.283,0.4869,3.56,292.80,20.17,247.23
3608519,"       (2012 RN6)",60800,1.643,0.6516,3.24,45.15,195.23,28.99
3608565,"       (2012 RH10)",60800,1.146,0.4693,13.92,352.30,123.00,41.07
3608566,"       (2012 RJ10)",56186,2.172,0.6222,4.38,348.23,294.07,16.05
3608618,"       (2012 RG15)",60800,1.077,0.4536,48.94,336.61,247.23,178.00
3608619,"       (2012 RH15)",56187,2.465,0.5727,3.98,195.43,159.86,359.57
3608620,"       (2012 RJ15)",60800,1.009,0.1240,24.76,175.84,320.20,34.64
3608621,"       (2012 RK15)",60800,2.32,0.6665,0.42,34.21,29.09,188.78
3608622,"       (2012 RL15)",60800,0.8765,0.2939,26.50,172.97,334.09,6.35
3608623,"       (2012 RM15)",60800,1.095,0.2496,8.01,171.20,89.82,77.77
3608624,"       (2012 RN15)",56186,1.388,0.2535,29.24,172.84,157.51,13.93
3608625,"       (2012 RO15)",60800,1.622,0.3628,12.45,356.35,324.47,57.40
3608626,"       (2012 RP15)",60800,2.594,0.5840,4.36,161.28,220.23,4.17
3608664,"       (2012 RQ16)",60800,2.351,0.4814,4.78,252.46,80.97,188.54
3608665,"       (2012 RR16)",60800,1.38,0.2960,3.85,169.98,145.82,306.23
3608667,"       (2012 RT16)",60800,0.9341,0.2953,10.40,172.07,54.46,91.70
3608668,"       (2012 RU16)",56191,2.487,0.6127,0.40,310.92,357.49,10.46
3608669,"       (2012 RV16)",60800,2.769,0.6710,20.22,7.52,69.14,253.87
3608670,"       (2012 RW16)",60800,2.448,0.5689,5.61,0.49,357.32,106.55
3608671,"       (2012 RX16)",60800,1.939,0.3822,2.52,103.94,274.96,235.24
54115828,"       (2012 RO48)",60800,2.35,0.5078,7.57,189.48,113.43,196.99
3608726,"       (2012 SW2)",60800,2.362,0.6784,3.28,180.82,241.14,150.01
3608727,"       (2012 SX2)",56187,2.025,0.5011,7.33,346.31,331.41,10.74
3608728,"       (2012 SY2)",60800,2.566,0.5214,10.58,357.68,12.31,22.45
3608729,"       (2012 SZ2)",60800,1.302,0.2796,17.12,174.66,232.03,148.88
3608730,"       (2012 SA3)",56189,1.958,0.6458,9.27,168.64,86.68,26.57
3608731,"       (2012 SB3)",56190,1.477,0.3652,2.69,173.49,133.77,23.33
3608784,"       (2012 SK8)",60800,1.34,0.2264,23.47,185.26,119.27,85.42
3608785,"       (2012 SL8)",60800,1.283,0.4524,17.55,355.81,136.71,153.26
3608786,"       (2012 SM8)",56190,1.542,0.3399,4.70,177.05,207.88,347.14
3608822,"       (2012 ST9)",60800,1.96,0.6627,7.69,174.25,308.37,175.78
3608823,"       (2012 SU9)",60800,0.9296,0.3600,0.49,323.31,264.44,120.67
3608824,"       (2012 SV9)",56191,1.999,0.6307,4.77,188.74,80.70,22.31
3608929,"       (2012 SV20)",60800,1.943,0.4047,12.09,355.27,296.48,274.28
3608931,"       (2012 SX20)",60800,1.742,0.3471,9.75,353.44,316.59,196.33
3608932,"       (2012 SY20)",60800,1.836,0.3592,15.23,347.65,334.03,41.91
3608933,"       (2012 SA22)",60800,2.547,0.4928,29.21,265.13,125.92,44.39
3608934,"       (2012 SB22)",60800,2.36,0.4843,7.39,135.38,199.40,183.30
3609117,"       (2012 SG32)",60800,1.301,0.2643,18.62,174.66,259.19,127.37
3609118,"       (2012 SH32)",60800,1.922,0.4041,16.49,356.72,6.10,261.62
3609119,"       (2012 SJ32)",56194,1.474,0.3679,2.10,175.67,236.93,336.81
3609162,"       (2012 SW49)",60800,2.524,0.5260,22.75,183.88,137.91,63.58
3609163,"       (2012 SX49)",60800,0.9513,0.1160,3.95,353.07,211.93,23.49
3609164,"       (2012 SY49)",60800,1.527,0.5569,1.19,5.89,84.41,216.07
3609165,"       (2012 SZ49)",60800,1.575,0.3336,5.81,18.87,310.34,150.59
3609221,"       (2012 SK50)",56205,1.299,0.1887,8.82,187.52,163.04,14.50
3609222,"       (2012 SL50)",60800,1.594,0.4647,9.54,184.52,238.54,74.92
3609223,"       (2012 SM50)",56195,1.204,0.1346,16.40,1.44,63.84,310.17
3609383,"       (2012 SR56)",60800,1.296,0.3600,2.30,359.79,285.02,235.16
3609384,"       (2012 SS56)",56198,1.886,0.4463,45.85,184.02,163.78,6.61
3609485,"       (2012 SF58)",56197,2.146,0.5952,8.34,184.07,123.67,13.01
3609486,"       (2012 SG58)",56198,2.845,0.7093,6.45,14.76,52.92,351.24
3609487,"       (2012 SH58)",56197,1.903,0.4590,0.34,81.58,280.09,0.80
3609488,"       (2012 SJ58)",60800,1.222,0.3471,10.07,5.73,83.24,70.92
3609504,"       (2012 SA59)",60800,2.69,0.5185,9.51,305.27,95.43,302.92
3609661,"       (2012 TV)",60800,1.504,0.5718,5.54,193.40,270.07,269.60
3609693,"       (2012 TC4)",60800,1.621,0.4038,0.53,19.70,26.56,228.90
3609751,"       (2012 TQ5)",60800,1.611,0.3608,13.55,189.62,189.11,52.07
3609752,"       (2012 TR5)",56206,1.579,0.3864,13.11,191.41,128.25,23.44
3609753,"       (2012 TS5)",60800,1.414,0.2290,19.98,10.07,336.01,189.33
3609754,"       (2012 TT5)",60800,2.075,0.6542,15.24,11.59,273.12,93.25
3609839,"       (2012 TL20)",60800,1.614,0.3291,7.72,26.75,322.24,60.51
3609840,"       (2012 TM20)",56209,2.155,0.4914,6.48,209.59,111.59,16.28
3609841,"       (2012 TN20)",60800,1.183,0.3859,11.62,348.74,139.12,213.77
3609842,"       (2012 TO20)",60800,2.538,0.5115,3.74,168.16,216.75,38.68
3609843,"       (2012 TP20)",60800,1.387,0.3264,0.66,207.73,117.72,275.70
3609844,"       (2012 TQ20)",56209,2.015,0.5145,0.82,349.48,60.85,350.19
3609845,"       (2012 TR20)",56211,2.44,0.5736,14.35,196.87,168.72,3.02
3610167,"       (2012 TC43)",56210,3.763,0.7028,9.40,210.04,110.55,7.59
3610023,"       (2012 TX52)",60800,1.687,0.2457,5.77,217.30,111.59,289.09
3610024,"       (2012 TY52)",60800,1.664,0.5532,9.63,221.57,252.89,268.67
3610025,"       (2012 TZ52)",60800,1.642,0.3218,18.14,206.23,201.95,331.76
3610026,"       (2012 TB53)",60800,1.253,0.1605,14.56,358.99,263.47,79.04
3610027,"       (2012 TD53)",60800,2.472,0.5069,9.16,29.12,345.89,85.84
3610028,"       (2012 TE53)",60800,2.319,0.5867,3.93,16.06,329.55,208.25
3610029,"       (2012 TF53)",60800,1.426,0.3688,6.13,201.04,282.42,72.53
3610030,"       (2012 TG53)",60800,2.182,0.5634,2.68,17.05,323.71,332.70
3610031,"       (2012 TH53)",56210,1.847,0.4650,7.64,13.07,321.77,14.25
3610032,"       (2012 TJ53)",56210,1.96,0.5761,1.68,180.60,135.35,15.56
3610170,"       (2012 TT78)",60800,1.967,0.4179,7.73,246.10,240.62,137.45
3610339,"       (2012 TW78)",60800,2.343,0.4522,11.07,226.22,196.34,163.64
3610340,"       (2012 TX78)",60800,2.172,0.4486,8.50,89.20,228.90,359.58
3610173,"       (2012 TD79)",56210,1.984,0.5966,8.13,199.00,249.59,341.96
3610174,"       (2012 TE79)",56210,1.623,0.4480,3.28,13.68,60.26,338.30
3610175,"       (2012 TF79)",60800,1.05,0.0381,1.01,199.85,265.74,161.34
3610176,"       (2012 TG79)",56210,2.451,0.5764,1.06,2.43,15.79,359.67
3610177,"       (2012 TH79)",60800,2.404,0.6175,7.73,157.13,287.65,115.13
3610178,"       (2012 TJ79)",60800,1.515,0.3270,12.14,187.99,240.92,237.81
3610179,"       (2012 TK79)",60800,2.592,0.5651,10.59,24.95,337.19,7.94
3610180,"       (2012 TL79)",56211,1.802,0.3969,8.51,12.10,31.50,349.99
3610181,"       (2012 TM79)",60800,2.15,0.5528,1.40,15.16,334.13,2.11
3610182,"       (2012 TY79)",60800,2.214,0.4149,19.53,23.44,54.36,271.87
3610183,"       (2012 TZ79)",60800,1.418,0.3135,10.77,7.93,262.85,230.00
3610358,"       (2012 TK123)",60800,1.815,0.6869,27.96,30.63,104.60,13.09
3610525,"       (2012 TN139)",60800,2.372,0.5125,2.80,72.51,310.15,156.22
3610526,"       (2012 TO139)",60800,2.441,0.8880,5.35,179.05,56.51,127.74
3610527,"       (2012 TP139)",60800,1.467,0.4648,2.34,271.76,3.37,78.54
3610528,"       (2012 TQ139)",60800,1.805,0.3721,6.04,63.48,313.64,67.45
3610529,"       (2012 TR139)",60800,1.961,0.3881,52.52,200.23,173.17,213.30
3610759,"       (2012 TT145)",60800,2.138,0.4579,7.70,356.26,328.33,31.45
3610760,"       (2012 TD146)",60800,2.233,0.4880,9.23,275.03,49.64,297.92
3610761,"       (2012 TE146)",56215,1.508,0.3102,3.69,28.93,298.53,28.42
3610762,"       (2012 TF146)",56219,2.133,0.5005,4.32,20.53,17.06,356.58
3610763,"       (2012 TG146)",60800,2.753,0.5627,2.97,210.38,182.64,269.21
3610764,"       (2012 TH146)",60800,2.512,0.5068,3.66,230.99,163.21,52.72
3610765,"       (2012 TJ146)",60800,2.68,0.6446,5.17,41.43,54.93,280.82
3611396,"       (2012 TQ146)",60800,1.539,0.4241,4.97,20.20,54.18,185.07
3611397,"       (2012 TR146)",60800,1.569,0.2578,1.23,69.77,328.64,127.50
3617331,"       (2012 TA219)",60800,2.637,0.5633,25.05,34.75,91.49,303.81
3611398,"       (2012 TO231)",60800,2.859,0.6179,37.02,26.80,44.81,204.85
3611399,"       (2012 TP231)",60800,1.118,0.2536,6.75,30.15,75.66,166.08
3611401,"       (2012 TQ231)",56210,1.195,0.4647,3.36,204.71,273.71,312.77
3611402,"       (2012 TR231)",60800,0.8389,0.2911,33.44,199.89,347.37,324.69
3611403,"       (2012 TS231)",60800,2.455,0.6029,5.42,41.26,281.76,108.26
3611404,"       (2012 TT231)",56216,1.957,0.6475,7.07,196.23,274.22,340.22
3611405,"       (2012 TU231)",60800,1.744,0.4534,9.61,19.21,327.58,173.41
3611406,"       (2012 TV231)",60800,2.252,0.4453,9.62,31.89,347.39,258.73
3611415,"       (2012 TQ256)",60800,1.978,0.3611,1.67,197.62,209.87,172.81
3611416,"       (2012 TT256)",60800,2.667,0.7276,11.10,106.23,171.95,335.15
3612164,"       (2012 TA259)",60800,1.883,0.7396,10.30,144.42,354.47,283.99
3612165,"       (2012 TB259)",60800,1.907,0.5762,7.21,98.19,203.91,297.82
3612173,"       (2012 TP274)",60800,2.451,0.5673,22.69,6.23,330.36,104.81
3612838,"       (2012 TX284)",60800,1.727,0.2937,18.13,33.74,298.60,225.96
3611400,"       (2012 UC)",60800,0.9299,0.3268,8.33,20.42,128.51,263.74
3611407,"       (2012 UD)",60800,1.805,0.4170,8.72,11.24,15.14,61.06
3611408,"       (2012 UE)",56216,1.903,0.5743,1.15,28.12,59.32,343.12
3611409,"       (2012 UF)",60800,1.671,0.3996,6.66,21.74,17.40,284.95
3611410,"       (2012 UG)",56220,2.283,0.5505,4.34,18.81,353.96,3.64
3611411,"       (2012 UH)",56216,2.256,0.5357,7.50,200.70,176.31,1.46
3611412,"       (2012 UJ)",56217,1.323,0.2286,28.32,203.15,218.83,336.06
3611413,"       (2012 UK)",56218,1.526,0.3513,9.80,18.08,65.39,332.46
3611414,"       (2012 UL)",60800,1.796,0.4341,0.93,235.51,127.20,84.62
3612166,"       (2012 US9)",60800,1.093,0.2469,8.28,334.65,182.98,242.53
3612167,"       (2012 UT9)",56218,1.318,0.2402,26.31,200.33,159.03,15.49
3612168,"       (2012 UU9)",60800,1.552,0.3881,2.65,164.96,175.88,194.65
3612169,"       (2012 UV9)",60800,1.89,0.4971,4.97,173.16,169.69,311.05
3612170,"       (2012 UW9)",56217,1.82,0.5012,6.64,24.87,53.20,342.05
3612171,"       (2012 UX9)",60800,2.501,0.5971,10.06,22.10,339.97,66.50
3612172,"       (2012 UY9)",56219,1.502,0.4040,2.75,349.25,317.17,37.70
3612644,"       (2012 UQ18)",60800,1.813,0.4085,11.95,28.77,25.43,38.32
3612645,"       (2012 UR18)",56219,1.366,0.3504,7.52,206.14,248.17,324.84
3612646,"       (2012 US18)",60800,1.195,0.3555,3.55,205.34,266.32,172.48
3612647,"       (2012 UT18)",56219,2.349,0.5984,7.20,218.37,116.27,12.06
3612841,"       (2012 UX27)",60800,2.672,0.6174,4.40,91.54,255.26,323.04
3612842,"       (2012 UZ33)",60800,2.228,0.5804,3.36,85.88,224.76,308.60
3612844,"       (2012 UB34)",60800,2.626,0.5571,15.15,106.56,246.19,350.96
3612845,"       (2012 UC34)",60800,1.318,0.3127,5.58,33.28,264.58,160.12
3612846,"       (2012 UD34)",60800,1.991,0.3566,5.34,65.12,250.95,207.05
3612847,"       (2012 UE34)",60800,1.105,0.0994,9.66,198.44,18.45,96.78
3612848,"       (2012 UF34)",60800,2.837,0.6570,4.70,24.60,30.03,223.09
3614152,"       (2012 UM68)",60800,2.47,0.4758,6.66,341.76,105.90,54.08
3613388,"       (2012 US68)",60800,2.502,0.9581,25.77,40.52,190.79,94.06
3613389,"       (2012 UU68)",60800,0.9407,0.2285,5.45,220.91,292.99,173.92
3613391,"       (2012 UW68)",60800,1.136,0.1555,2.47,15.34,102.44,55.07
3613392,"       (2012 UX68)",60800,1.089,0.2815,4.05,50.16,93.15,281.41
3613393,"       (2012 UY68)",60800,1.175,0.2281,2.90,70.28,35.81,250.51
3613394,"       (2012 UZ68)",56223,1.941,0.5003,4.89,207.30,143.56,11.41
3613396,"       (2012 UB69)",60800,2.115,0.4902,29.14,207.14,203.87,18.06
3613397,"       (2012 UC69)",60800,2.153,0.5512,5.82,33.63,316.98,358.96
3614395,"       (2012 US136)",60800,4.284,0.9121,51.89,0.36,279.24,151.49
3614396,"       (2012 UT136)",60800,1.86,0.6715,7.71,101.99,35.21,307.02
3614397,"       (2012 UU136)",60800,1.16,0.2120,35.59,36.08,227.73,110.98
3614399,"       (2012 UW136)",60800,1.02,0.1709,14.42,218.93,25.62,201.92
3614400,"       (2012 UX136)",60800,1.089,0.1830,4.54,47.17,64.94,307.51
3614401,"       (2012 UY136)",60800,1.73,0.4164,4.94,205.56,170.34,186.99
3614637,"       (2012 UO138)",60800,2.016,0.6680,54.58,179.79,215.45,117.12
3614638,"       (2012 UQ138)",60800,2.247,0.4356,4.32,330.95,72.38,254.31
3614639,"       (2012 UR138)",60800,1.968,0.5433,7.78,255.87,49.07,224.29
3615792,"       (2012 UN158)",60800,2.622,0.5551,11.33,184.06,167.31,356.13
3614980,"       (2012 UR158)",60800,2.232,0.8577,3.19,286.44,239.44,251.14
3614981,"       (2012 UU158)",60800,1.099,0.3739,5.97,26.62,262.08,8.70
3614982,"       (2012 UV158)",56227,1.524,0.3305,21.56,213.22,161.56,9.11
3614983,"       (2012 UW158)",56226,2.233,0.6864,35.56,31.13,282.04,14.50
3615337,"       (2012 US169)",60800,2.364,0.4870,4.17,349.06,330.42,189.77
3615338,"       (2012 UT169)",60800,2.181,0.4540,6.33,335.47,346.52,352.14
3615339,"       (2012 UU169)",56226,2.471,0.6254,5.83,215.20,217.19,352.34
3615463,"       (2012 UK171)",60800,0.8587,0.2231,1.29,248.87,359.87,24.18
3615464,"       (2012 UL171)",56226,1.062,0.1434,3.17,22.29,92.06,294.23
3615557,"       (2012 UA174)",60800,2.298,0.5048,10.15,226.47,176.74,209.48
3615558,"       (2012 UB174)",56226,1.316,0.3309,17.63,211.18,117.70,33.63
3616339,"       (2012 VY4)",60800,2.841,0.6017,11.04,223.37,207.68,217.14
3616340,"       (2012 VZ4)",60800,1.759,0.4058,31.43,32.25,300.11,150.02
3616341,"       (2012 VA5)",60800,2.603,0.6083,5.81,29.83,39.76,341.74
3616342,"       (2012 VB5)",56234,2.089,0.6513,5.73,220.45,257.84,343.67
3616343,"       (2012 VC5)",60800,2.837,0.6177,9.12,219.92,189.77,222.80
3616344,"       (2012 VD5)",60800,2.009,0.5626,2.37,39.87,51.36,127.41
3616346,"       (2012 VF5)",60800,1.993,0.3955,21.18,16.54,345.97,160.26
3616347,"       (2012 VG5)",56236,1.593,0.3453,16.02,223.64,186.42,356.21
3616348,"       (2012 VH5)",60800,1.065,0.2454,9.34,17.51,170.77,2.98
3616349,"       (2012 VJ5)",56238,1.414,0.2621,12.95,219.98,171.03,7.82
3616350,"       (2012 VK5)",60800,0.9382,0.2280,4.78,41.95,152.53,136.25
3616351,"       (2012 VL5)",60800,1.817,0.4469,0.73,46.29,351.92,37.44
3616687,"       (2012 VC6)",60800,2.063,0.5032,3.46,8.14,68.50,67.69
3616688,"       (2012 VD6)",60800,1.344,0.2552,10.24,227.18,224.83,336.01
3616689,"       (2012 VE6)",60800,1.574,0.2156,16.23,28.22,13.94,115.51
3616690,"       (2012 VF6)",60800,3.283,0.6120,60.94,219.37,218.45,27.67
3616691,"       (2012 VG6)",60800,2.4,0.5356,7.15,355.99,85.66,116.98
3616692,"       (2012 VH6)",60800,2.242,0.4773,7.92,109.41,237.68,279.69
3616693,"       (2012 VJ6)",60800,2.627,0.6755,7.28,4.84,157.38,302.58
3616694,"       (2012 VK6)",56242,2.303,0.7054,1.84,291.02,339.31,20.21
3616695,"       (2012 VL6)",60800,2.343,0.5657,8.73,19.47,19.29,170.49
3616696,"       (2012 VM6)",60800,1.128,0.1661,5.12,226.71,98.62,212.71
3616697,"       (2012 VN6)",60800,1.043,0.4607,21.03,216.94,26.24,13.78
3616698,"       (2012 VO6)",60800,1.966,0.5356,3.57,242.47,243.79,157.21
3616699,"       (2012 VP6)",60800,1.277,0.1415,8.43,224.29,147.34,257.52
3616700,"       (2012 VQ6)",56237,1.508,0.4956,0.84,211.52,269.14,331.98
3616701,"       (2012 VS6)",56239,1.283,0.3591,31.11,222.52,92.00,50.26
3616702,"       (2012 VT6)",56237,1.342,0.2984,10.70,36.40,284.17,48.98
3616816,"       (2012 VN7)",60800,2.265,0.4350,3.92,241.62,135.33,234.71
3616817,"       (2012 VO7)",60800,2.059,0.4605,5.76,47.24,56.63,55.64
3616818,"       (2012 VZ19)",56236,0.9824,0.2541,1.25,57.96,221.43,93.87
3616819,"       (2012 VA20)",56237,1.684,0.5545,4.40,62.79,240.04,33.17
3616820,"       (2012 VB20)",56239,2.169,0.6007,1.96,229.82,119.38,13.09
3617073,"       (2012 VZ25)",60800,2.18,0.5314,6.22,33.37,299.75,346.06
3617074,"       (2012 VA26)",60800,1.611,0.4344,9.92,43.70,48.24,21.21
3617075,"       (2012 VB26)",56238,1.849,0.5638,4.07,217.37,257.90,339.76
3617076,"       (2012 VC26)",60800,0.9507,0.1947,1.48,42.70,119.58,67.91
3617077,"       (2012 VD26)",56240,1.947,0.4713,6.93,222.49,181.63,1.18
3617078,"       (2012 VE26)",56238,1.587,0.6333,3.58,44.58,94.73,335.08
3617079,"       (2012 VF26)",60800,2.47,0.5500,3.74,58.35,340.87,80.04
3617080,"       (2012 VG26)",56244,2.49,0.5464,19.63,44.86,326.57,10.07
3617153,"       (2012 VZ36)",60800,2.784,0.5657,21.22,180.81,170.66,246.77
3617154,"       (2012 VB37)",60800,1.45,0.3127,1.91,240.32,154.00,58.19
3617155,"       (2012 VC37)",56243,2.778,0.6392,3.93,31.39,34.33,357.45
3617156,"       (2012 VD37)",56238,1.286,0.1651,21.46,225.04,210.84,337.50
3617157,"       (2012 VE37)",60800,1.04,0.5368,17.47,48.23,149.94,176.58
3617158,"       (2012 VF37)",60800,2.464,0.6515,4.90,82.40,58.77,64.59
3617339,"       (2012 VJ38)",60800,1.359,0.2862,0.39,52.50,24.44,300.96
3617387,"       (2012 VE46)",60800,0.7131,0.3612,6.67,8.64,190.61,108.98
3617388,"       (2012 VF46)",56245,1.984,0.5206,11.20,50.01,42.79,347.52
3617389,"       (2012 VG46)",56245,1.549,0.3278,27.72,227.46,178.17,1.91
3617390,"       (2012 VH46)",56245,1.943,0.4677,7.97,224.79,152.19,12.56
3617391,"       (2012 VJ46)",60800,2.468,0.5783,0.38,52.38,33.77,68.00
3617706,"       (2012 VK76)",60800,1.111,0.2642,20.49,230.67,53.07,333.19
3617707,"       (2012 VM76)",60800,2.691,0.5871,15.88,49.60,317.29,307.64
3617708,"       (2012 VN76)",56245,1.908,0.4816,1.48,226.86,208.71,352.43
3617710,"       (2012 VP76)",60800,1.912,0.4399,5.89,243.86,168.46,257.57
3617711,"       (2012 VQ76)",60800,2.628,0.5284,21.40,54.51,358.47,334.56
3617712,"       (2012 VR76)",60800,1.084,0.1292,5.01,50.88,295.50,72.98
3617713,"       (2012 VS76)",60800,0.991,0.3861,0.81,241.98,284.82,159.79
3617714,"       (2012 VT76)",56244,2.115,0.5754,2.22,217.70,143.93,12.21
3617715,"       (2012 VU76)",60800,1.019,0.1285,6.76,52.34,88.31,334.76
3617716,"       (2012 VV76)",56250,2.553,0.6646,1.06,53.65,308.86,9.65
3617954,"       (2012 VD77)",56249,2.557,0.6185,2.31,143.00,231.22,7.58
3617955,"       (2012 VE77)",56247,1.639,0.5546,8.10,235.43,254.07,337.05
3617956,"       (2012 VF77)",56247,2.459,0.6109,2.34,51.55,317.55,9.15
3617957,"       (2012 VG77)",56246,1.675,0.5099,29.57,52.04,71.62,336.00
3617958,"       (2012 VH77)",56250,1.666,0.4780,2.76,50.36,308.87,20.25
3617959,"       (2012 VJ77)",60800,0.8927,0.3465,29.94,51.50,221.05,32.32
3617960,"       (2012 VK77)",60800,2.193,0.5144,2.13,65.47,6.35,296.32
3617961,"       (2012 VF80)",60800,2.234,0.4274,7.59,195.33,184.44,258.34
3618023,"       (2012 VC82)",60800,2.38,0.5811,10.81,355.34,29.28,143.33
3618025,"       (2012 VF82)",60800,1.4,0.1430,27.17,230.73,160.24,201.92
3618027,"       (2012 VK82)",60800,1.609,0.3174,32.24,58.15,306.72,62.15
3618062,"       (2012 VM82)",60800,2.265,0.4610,32.02,40.09,339.12,240.52
3618295,"       (2012 VL94)",60800,1.793,0.3972,11.69,23.78,28.81,75.84
3618063,"       (2012 WE)",56248,1.496,0.6645,31.06,230.27,72.74,30.72
3618064,"       (2012 WF)",60800,1.121,0.1991,14.05,52.85,293.21,225.90
3618065,"       (2012 WG)",56251,1.653,0.4328,16.35,55.44,307.19,21.71
3618066,"       (2012 WH)",60800,0.9071,0.1449,4.10,235.15,8.72,320.53
3618296,"       (2012 WH1)",60800,0.8172,0.3362,4.61,63.94,147.34,177.15
3618403,"       (2012 WQ3)",56253,2.356,0.7670,3.25,52.40,270.69,13.63
3618404,"       (2012 WR3)",60800,2.418,0.5819,11.09,238.78,165.40,114.76
